Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,loss spread,loss ratio,Acc spread,Acc ratio
100,1.3516,1.267864465713501,0.430625,0.8078125,4.75e-05,0.0134048257372654,0.08373553428649894,1.0660445469929438,0.37718750000000006,1.8759071117561685
200,0.707,0.3498609960079193,0.8267857142857142,0.8859375,4.5e-05,0.0268096514745308,0.35713900399208065,2.0208025703556753,0.05915178571428581,1.0715442764578835
300,0.3553,0.3378216326236725,0.8785714285714286,0.8859375,4.25e-05,0.0402144772117962,0.01747836737632752,1.0517384491945727,0.007366071428571486,1.0083841463414636
400,0.3068,0.3261869549751282,0.8933035714285714,0.896875,4e-05,0.0536193029490616,-0.019386954975128157,0.9405648978923562,0.0035714285714285587,1.0039980009995002
500,0.3086,0.3178371787071228,0.8964285714285715,0.9,3.75e-05,0.067024128686327,-0.009237178707122817,0.9709373876753588,0.0035714285714285587,1.00398406374502
600,0.2989,0.3271564543247223,0.8982142857142857,0.89375,3.5e-05,0.0804289544235924,-0.02825645432472229,0.9136301486606891,-0.004464285714285698,0.9950298210735586
700,0.3082,0.3074564933776855,0.8995535714285714,0.9078125,3.2500000000000004e-05,0.0938337801608579,0.0007435066223144826,1.002418249860806,0.008258928571428625,1.009181141439206
800,0.3107,0.3024586141109466,0.89375,0.9046875,3e-05,0.1072386058981233,0.008241385889053376,1.0272479787467066,0.010937499999999933,1.012237762237762
900,0.2902,0.304334282875061,0.9,0.9078125,2.7500000000000004e-05,0.1206434316353887,-0.014134282875060966,0.9535567181536904,0.0078125,1.0086805555555556
1000,0.2886,0.299022912979126,0.9035714285714286,0.9078125,2.5e-05,0.1340482573726541,-0.010422912979125953,0.9651434303970762,0.004241071428571441,1.0046936758893281
1100,0.3071,0.2955912947654724,0.9066964285714286,0.909375,2.25e-05,0.1474530831099195,0.011508705234527572,1.038934520191668,0.002678571428571419,1.0029542097488922
1200,0.2998,0.2960625290870666,0.9035714285714286,0.9046875,2e-05,0.1608579088471849,0.003737470912933416,1.0126239241570294,0.0011160714285713969,1.0012351778656126
1300,0.3253,0.2983911335468292,0.8995535714285714,0.9015625,1.75e-05,0.1742627345844504,0.026908866453170754,1.0901798459401868,0.0020089285714286476,1.0022332506203475
1400,0.2922,0.2933372557163238,0.903125,0.9015625,1.5e-05,0.1876675603217158,-0.0011372557163237818,0.9961230437178986,-0.0015624999999999112,0.9982698961937717
1500,0.2987,0.2943497598171234,0.903125,0.903125,1.25e-05,0.2010723860589812,0.004350240182876608,1.0147791531597625,0.0,1.0
1600,0.3136,0.2908922731876373,0.9040178571428572,0.909375,1e-05,0.2144772117962466,0.022707726812362716,1.0780623237720561,0.005357142857142838,1.005925925925926
1700,0.2566,0.3001099228858948,0.9120535714285716,0.90625,7.5e-06,0.227882037533512,-0.04350992288589478,0.8550200457635726,-0.0058035714285715745,0.993636808614782
1800,0.2849,0.2960925996303558,0.90625,0.90625,5e-06,0.2412868632707774,-0.011192599630355793,0.9621989889503192,0.0,1.0
1900,0.2663,0.2949934601783752,0.9098214285714286,0.90625,2.5e-06,0.2546916890080429,-0.028693460178375207,0.9027318769676284,-0.0035714285714285587,0.9960745829244357
2000,0.328,0.2941219210624695,0.903125,0.9046875,0.0,0.2680965147453083,0.03387807893753053,1.1151837945813465,0.0015625000000000222,1.0017301038062283
