Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,loss spread,loss ratio,Acc spread,Acc ratio
100,0.7335,0.3257105946540832,0.73125,0.89375,4.969220851487845e-05,0.0134048257372654,0.40778940534591684,2.251999204321261,0.1625000000000001,1.2222222222222223
200,0.3539,0.3247123658657074,0.8892857142857142,0.89375,4.877641290737884e-05,0.0268096514745308,0.029187634134292595,1.0898876581323786,0.0044642857142858094,1.0050200803212852
300,0.3308,0.3497729301452636,0.8861607142857143,0.8859375,4.72751631047092e-05,0.0402144772117962,-0.018972930145263633,0.9457564365047232,-0.00022321428571425717,0.9997481108312343
400,0.3045,0.3241623342037201,0.89375,0.9,4.522542485937369e-05,0.0536193029490616,-0.0196623342037201,0.939344173801009,0.006249999999999978,1.0069930069930069
500,0.3001,0.3288829326629638,0.9004464285714285,0.896875,4.267766952966369e-05,0.067024128686327,-0.028782932662963834,0.912482741412245,-0.0035714285714285587,0.9960337134357957
600,0.2873,0.3111059069633484,0.9044642857142856,0.9109375,3.969463130731183e-05,0.0804289544235924,-0.02380590696334839,0.923479733330319,0.006473214285714346,1.00715695952616
700,0.2942,0.3279399275779724,0.9075892857142858,0.9015625,3.634976249348867e-05,0.0938337801608579,-0.033739927577972395,0.8971155240925939,-0.006026785714285721,0.9933595671421545
800,0.2969,0.3066076636314392,0.8986607142857143,0.9078125,3.272542485937369e-05,0.1072386058981233,-0.009707663631439212,0.9683384834010268,0.009151785714285765,1.0101838052657726
900,0.2898,0.3114413917064667,0.9044642857142856,0.9078125,2.8910861626005776e-05,0.1206434316353887,-0.021641391706466673,0.9305121532244383,0.0033482142857144126,1.0037018756169793
1000,0.2938,0.3024972081184387,0.9008928571428572,0.9078125,2.5e-05,0.1340482573726541,-0.008697208118438715,0.9712486334252929,0.00691964285714286,1.0076808721506443
1100,0.2997,0.3003130555152893,0.8991071428571429,0.90625,2.1089138373994223e-05,0.1474530831099195,-0.0006130555152892847,0.997958611841775,0.0071428571428571175,1.0079443892750743
1200,0.296,0.3011850714683532,0.9022321428571428,0.9046875,1.7274575140626318e-05,0.1608579088471849,-0.005185071468353231,0.9827844340256484,0.002455357142857162,1.0027214250371104
1300,0.3129,0.3026076853275299,0.9022321428571428,0.9046875,1.3650237506511331e-05,0.1742627345844504,0.010292314672470104,1.0340120729628202,0.002455357142857162,1.0027214250371104
1400,0.2835,0.3004029095172882,0.9098214285714286,0.90625,1.0305368692688174e-05,0.1876675603217158,-0.016902909517288234,0.9437325372632069,-0.0035714285714285587,0.9960745829244357
1500,0.2873,0.2976454794406891,0.9071428571428573,0.9109375,7.3223304703363135e-06,0.2010723860589812,-0.010345479440689087,0.96524227594476,0.003794642857142705,1.0041830708661417
1600,0.3176,0.297341912984848,0.9008928571428572,0.90625,4.7745751406263165e-06,0.2144772117962466,0.02025808701515197,1.0681306137160163,0.005357142857142838,1.0059464816650148
1700,0.261,0.3014266490936279,0.9111607142857144,0.90625,2.7248368952908053e-06,0.227882037533512,-0.040426649093627864,0.8658822993415201,-0.004910714285714435,0.9946104850563448
1800,0.2751,0.300673633813858,0.9084821428571428,0.90625,1.223587092621162e-06,0.2412868632707774,-0.025573633813857966,0.9149455391566187,-0.0022321428571427937,0.9975429975429976
1900,0.2599,0.3003224730491638,0.9111607142857144,0.9078125,3.077914851215585e-07,0.2546916890080429,-0.0404224730491638,0.8654031027423429,-0.0033482142857144126,0.996325330720235
2000,0.3223,0.3002464771270752,0.9044642857142856,0.9078125,0.0,0.2680965147453083,0.02205352287292478,1.073451395946241,0.0033482142857144126,1.0037018756169793
