Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,loss spread,loss ratio,Acc spread,Acc ratio
100,0.8561,0.3449920117855072,0.671875,0.8875,4.75e-05,0.0134048257372654,0.5111079882144928,2.481506732776947,0.21562499999999996,1.3209302325581396
200,0.3653,0.3339084088802337,0.8830357142857143,0.8984375,4.5e-05,0.0268096514745308,0.031391591119766304,1.094012580351116,0.015401785714285743,1.0174418604651163
300,0.3311,0.3543545603752136,0.8910714285714286,0.8859375,4.25e-05,0.0402144772117962,-0.023254560375213618,0.9343748804852683,-0.005133928571428581,0.9942384769539078
400,0.3054,0.3280209898948669,0.8941964285714286,0.896875,4e-05,0.0536193029490616,-0.022620989894866883,0.9310379805203408,0.002678571428571419,1.0029955067398901
500,0.302,0.3287638127803802,0.8991071428571429,0.9,3.75e-05,0.067024128686327,-0.026763812780380203,0.918592583064308,0.0008928571428571397,1.0009930486593843
600,0.2892,0.3203213810920715,0.9040178571428572,0.9015625,3.5e-05,0.0804289544235924,-0.031121381092071465,0.9028432601471392,-0.002455357142857162,0.9972839506172839
700,0.3006,0.3379061818122864,0.9053571428571427,0.9,3.2500000000000004e-05,0.0938337801608579,-0.0373061818122864,0.8895960363548165,-0.005357142857142727,0.9940828402366866
800,0.3032,0.3141985535621643,0.896875,0.9078125,3e-05,0.1072386058981233,-0.010998553562164282,0.9649948943511345,0.010937500000000044,1.0121951219512195
900,0.2887,0.3163899481296539,0.9035714285714286,0.9046875,2.7500000000000004e-05,0.1206434316353887,-0.027689948129653863,0.9124815807412858,0.0011160714285713969,1.0012351778656126
1000,0.2916,0.307080328464508,0.9,0.903125,2.5e-05,0.1340482573726541,-0.015480328464507975,0.9495886677537627,0.0031249999999999334,1.003472222222222
1100,0.3026,0.3040522634983063,0.9017857142857144,0.9015625,2.25e-05,0.1474530831099195,-0.0014522634983062943,0.995223638588981,-0.0002232142857143682,0.9997524752475246
1200,0.3043,0.3061489164829254,0.9,0.909375,2e-05,0.1608579088471849,-0.0018489164829254001,0.9939607283142924,0.009375000000000022,1.0104166666666667
1300,0.3278,0.3058817982673645,0.8977678571428571,0.90625,1.75e-05,0.1742627345844504,0.02191820173263548,1.0716557894480445,0.008482142857142883,1.009448035803083
1400,0.2914,0.302410751581192,0.9058035714285714,0.9015625,1.5e-05,0.1876675603217158,-0.011010751581192024,0.963590078978274,-0.00424107142857133,0.9953178905864959
1500,0.2947,0.2985966205596924,0.903125,0.9015625,1.25e-05,0.2010723860589812,-0.0038966205596923653,0.9869502188189924,-0.0015624999999999112,0.9982698961937717
1600,0.3161,0.2996960580348968,0.8986607142857143,0.903125,1e-05,0.2144772117962466,0.016403941965103197,1.0547352610263332,0.004464285714285698,1.0049677098857426
1700,0.2639,0.3050344288349151,0.9084821428571428,0.9109375,7.5e-06,0.227882037533512,-0.04113442883491508,0.8651482424720749,0.002455357142857162,1.0027027027027027
1800,0.2833,0.3047028183937073,0.9107142857142856,0.9078125,5e-06,0.2412868632707774,-0.02140281839370728,0.9297583839016131,-0.002901785714285565,0.9968137254901962
1900,0.2647,0.3025556802749634,0.9133928571428572,0.9078125,2.5e-06,0.2546916890080429,-0.03785568027496339,0.8748802857029158,-0.005580357142857206,0.9938905180840664
2000,0.3204,0.301756888628006,0.9066964285714286,0.9078125,0.0,0.2680965147453083,0.018643111371994037,1.0617818915642934,0.0011160714285713969,1.0012309207287051
