Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,loss spread,loss ratio,Acc spread,Acc ratio
100,1.3902,1.3850038051605225,0.233125,0.2859375,4.75e-05,0.0134048257372654,0.005196194839477641,1.003751754919457,0.05281250000000001,1.2265415549597856
200,1.3929,1.3850624561309814,0.253125,0.2859375,4.5e-05,0.0268096514745308,0.007837543869018582,1.0056586212660128,0.03281250000000002,1.1296296296296298
300,1.3897,1.3851048946380615,0.2446428571428571,0.2859375,4.25e-05,0.0402144772117962,0.004595105361938412,1.003317514348355,0.041294642857142905,1.1687956204379564
400,1.3885,1.3851182460784912,0.2535714285714285,0.2859375,4e-05,0.0536193029490616,0.0033817539215088566,1.002441491137008,0.03236607142857151,1.127640845070423
500,1.3878,1.3851521015167236,0.2660714285714285,0.284375,3.75e-05,0.067024128686327,0.0026478984832762897,1.0019116301237798,0.018303571428571475,1.068791946308725
600,1.3892,1.3852736949920654,0.2459821428571428,0.2875,3.5e-05,0.0804289544235924,0.003926305007934561,1.0028343171621092,0.04151785714285719,1.1687840290381128
700,1.3898,1.3852545022964478,0.2544642857142857,0.2859375,3.2500000000000004e-05,0.0938337801608579,0.00454549770355217,1.0032813448330373,0.03147321428571431,1.1236842105263158
800,1.3889,1.385284662246704,0.253125,0.284375,3e-05,0.1072386058981233,0.003615337753295922,1.0026098157669865,0.03125,1.123456790123457
900,1.3902,1.385318160057068,0.2522321428571428,0.2859375,2.7500000000000004e-05,0.1206434316353887,0.004881839942932009,1.003523984658319,0.03370535714285722,1.1336283185840712
1000,1.3889,1.385324239730835,0.2508928571428571,0.2859375,2.5e-05,0.1340482573726541,0.0035757602691650625,1.0025811720943105,0.03504464285714293,1.1396797153024913
1100,1.3897,1.3853825330734253,0.2513392857142857,0.2859375,2.25e-05,0.1474530831099195,0.004317466926574642,1.0031164438871598,0.0345982142857143,1.1376554174067497
1200,1.3899,1.385431885719299,0.2598214285714286,0.2875,2e-05,0.1608579088471849,0.004468114280700819,1.0032250696167433,0.027678571428571386,1.106529209621993
1300,1.3892,1.3854799270629885,0.259375,0.2890625,1.75e-05,0.1742627345844504,0.003720072937011487,1.0026850428247613,0.029687499999999978,1.114457831325301
1400,1.3875,1.3855010271072388,0.26875,0.2890625,1.5e-05,0.1876675603217158,0.001998972892761186,1.001442779798536,0.02031250000000001,1.0755813953488373
1500,1.3882,1.3855047225952148,0.2504464285714285,0.2875,1.25e-05,0.2010723860589812,0.002695277404785257,1.0019453397457474,0.03705357142857146,1.14795008912656
1600,1.3861,1.3854868412017822,0.2566964285714285,0.2875,1e-05,0.2144772117962466,0.0006131587982178832,1.000442558370086,0.030803571428571486,1.1200000000000003
1700,1.3884,1.385481834411621,0.2683035714285714,0.2875,7.5e-06,0.227882037533512,0.0029181655883789848,1.0021062460119647,0.01919642857142856,1.0715474209650582
1800,1.3892,1.3854961395263672,0.2580357142857143,0.2875,5e-06,0.2412868632707774,0.003703860473632803,1.0026733098476182,0.029464285714285665,1.1141868512110724
1900,1.3884,1.3855022192001345,0.2522321428571428,0.2875,2.5e-06,0.2546916890080429,0.002897780799865579,1.0020915020991727,0.035267857142857184,1.1398230088495578
2000,1.3892,1.385505437850952,0.2607142857142857,0.2875,0.0,0.2680965147453083,0.003694562149048064,1.0026665807640414,0.0267857142857143,1.1027397260273972
