accuracy,epoch,grad_norm,learning_rate,loss,step,eval_accuracy,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.33,0.013404825737265416,1.4089295864105225,4.5e-05,1.3751,100,0.6859375,1.3499637842178345,6.8411,93.553,1.462
0.5642857142857143,0.02680965147453083,2.1230008602142334,4e-05,1.3332,200,0.75625,1.3008818626403809,6.9112,92.604,1.447
0.6995535714285714,0.040214477211796246,1.963966965675354,3.5e-05,1.2666,300,0.8,1.2203733921051025,6.9461,92.138,1.44
0.8066964285714285,0.05361930294906166,2.201474666595459,3e-05,1.1511,400,0.871875,1.0739744901657104,6.9788,91.706,1.433
0.8674107142857143,0.06702412868632708,2.208991289138794,2.5e-05,0.9738,500,0.8859375,0.8639993667602539,7.0126,91.265,1.426
0.8794642857142857,0.08042895442359249,2.7674126625061035,2e-05,0.7765,600,0.878125,0.6622456312179565,6.9724,91.79,1.434
0.8803571428571428,0.0938337801608579,1.678747534751892,1.5e-05,0.62,700,0.88125,0.5274679660797119,6.9743,91.765,1.434
0.8732142857142857,0.10723860589812333,1.6527782678604126,1e-05,0.5597,800,0.8796875,0.46778208017349243,6.9997,91.432,1.429
0.8794642857142857,0.12064343163538874,2.6748406887054443,5e-06,0.5012,900,0.8828125,0.438950777053833,6.9847,91.629,1.432
0.8821428571428571,0.13404825737265416,1.320845127105713,0.0,0.484,1000,0.884375,0.4308696389198303,6.9989,91.443,1.429
0.883125,0.14745308310991956,1.853983998298645,2.25e-05,0.4636,1100,0.8859375,0.37790197134017944,6.8913,92.87,1.451
0.8816964285714286,0.16085790884718498,1.967825174331665,2e-05,0.4213,1200,0.884375,0.35344740748405457,6.9584,91.976,1.437
0.8772321428571429,0.1742627345844504,1.4172223806381226,1.75e-05,0.4222,1300,0.8890625,0.34080010652542114,6.9763,91.74,1.433
0.8928571428571429,0.1876675603217158,1.6654847860336304,1.5e-05,0.3654,1400,0.890625,0.3333739638328552,7.004,91.376,1.428
0.8892857142857142,0.20107238605898123,2.7959272861480713,1.25e-05,0.3816,1500,0.890625,0.32843008637428284,6.9877,91.589,1.431
0.8848214285714285,0.21447721179624665,2.039396286010742,1e-05,0.3949,1600,0.896875,0.3247528672218323,6.989,91.573,1.431
0.8955357142857143,0.22788203753351208,1.052765965461731,7.5e-06,0.3448,1700,0.89375,0.3247165083885193,6.9797,91.694,1.433
0.8946428571428572,0.24128686327077747,2.1661038398742676,5e-06,0.3534,1800,0.8953125,0.3243796229362488,6.9825,91.657,1.432
0.89375,0.2546916890080429,1.8395336866378784,2.5e-06,0.3523,1900,0.8953125,0.32406339049339294,7.0033,91.385,1.428
0.8794642857142857,0.2680965147453083,0.5861672759056091,0.0,0.3903,2000,0.89375,0.32381731271743774,7.0047,91.367,1.428
0.881875,0.28150134048257375,0.9239967465400696,1.5e-05,0.3642,2100,0.8953125,0.32159656286239624,6.9232,92.443,1.444
0.8910714285714286,0.2949061662198391,1.5009856224060059,1.3333333333333333e-05,0.3459,2200,0.896875,0.320259153842926,6.9867,91.602,1.431
0.9008928571428572,0.30831099195710454,1.8422765731811523,1.1666666666666668e-05,0.3342,2300,0.896875,0.3194088339805603,6.9912,91.544,1.43
0.8910714285714286,0.32171581769436997,1.402683138847351,1e-05,0.3569,2400,0.896875,0.3192008435726166,7.0147,91.237,1.426
0.89375,0.3351206434316354,2.1384456157684326,8.333333333333334e-06,0.3272,2500,0.896875,0.31950581073760986,7.0269,91.078,1.423
0.8986607142857143,0.3485254691689008,2.088306427001953,6.666666666666667e-06,0.3474,2600,0.8984375,0.318677693605423,6.9924,91.528,1.43
0.8919642857142858,0.36193029490616624,3.976685047149658,5e-06,0.3285,2700,0.8984375,0.3187163770198822,7.01,91.298,1.427
0.89375,0.3753351206434316,0.8725947737693787,3.3333333333333333e-06,0.3238,2800,0.8984375,0.3188275396823883,6.9954,91.488,1.43
0.8959821428571428,0.38873994638069703,2.406049966812134,1.6666666666666667e-06,0.3389,2900,0.9,0.31901615858078003,6.985,91.624,1.432
0.8973214285714286,0.40214477211796246,0.8976088762283325,0.0,0.3281,3000,0.9,0.31901437044143677,7.0203,91.165,1.424
