accuracy,epoch,grad_norm,learning_rate,loss,step,eval_accuracy,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.378125,0.013404825737265416,1.3365205526351929,4.5e-05,1.3654,100,0.734375,1.325698733329773,7.0497,90.784,1.418
0.7178571428571429,0.02680965147453083,2.671522378921509,4e-05,1.183,200,0.8859375,0.8254379034042358,7.0623,90.622,1.416
0.8745535714285714,0.040214477211796246,2.800658941268921,3.5e-05,0.5078,300,0.884375,0.35082751512527466,7.073,90.484,1.414
0.8982142857142857,0.05361930294906166,2.51574969291687,3e-05,0.3195,400,0.884375,0.33922094106674194,7.0633,90.609,1.416
0.8892857142857142,0.06702412868632708,3.362405300140381,2.5e-05,0.3288,500,0.903125,0.3271156847476959,7.0699,90.524,1.414
0.896875,0.08042895442359249,3.2585949897766113,2e-05,0.317,600,0.89375,0.3359892964363098,7.0658,90.577,1.415
0.8941964285714286,0.0938337801608579,3.9085357189178467,1.5e-05,0.3143,700,0.8890625,0.3361476957798004,7.0601,90.65,1.416
0.8825892857142857,0.10723860589812333,2.5967516899108887,1e-05,0.3526,800,0.896875,0.31775182485580444,7.0596,90.657,1.417
0.8933035714285714,0.12064343163538874,5.250102996826172,5e-06,0.3147,900,0.903125,0.32235464453697205,7.1345,89.705,1.402
0.8959821428571428,0.13404825737265416,4.273407936096191,0.0,0.3117,1000,0.903125,0.3203452527523041,7.0951,90.203,1.409
0.890625,0.14745308310991956,4.305846691131592,2.25e-05,0.3203,1100,0.9,0.3135557174682617,7.0763,90.443,1.413
0.8986607142857143,0.16085790884718498,3.3243799209594727,2e-05,0.3196,1200,0.9015625,0.3178717792034149,7.0771,90.433,1.413
0.8857142857142857,0.1742627345844504,3.1758193969726562,1.75e-05,0.3506,1300,0.903125,0.32048237323760986,7.098,90.166,1.409
0.8991071428571429,0.1876675603217158,4.4690775871276855,1.5e-05,0.3119,1400,0.903125,0.3146923780441284,7.0681,90.547,1.415
0.8986607142857143,0.20107238605898123,9.666964530944824,1.25e-05,0.3141,1500,0.9015625,0.3174622058868408,7.0704,90.518,1.414
0.89375,0.21447721179624665,5.0207743644714355,1e-05,0.3446,1600,0.90625,0.3135342001914978,7.1088,90.03,1.407
0.9075892857142858,0.22788203753351208,1.1598457098007202,7.5e-06,0.289,1700,0.9046875,0.3205049932003021,7.0716,90.503,1.414
0.9004464285714285,0.24128686327077747,6.302663803100586,5e-06,0.3075,1800,0.9046875,0.3179375231266022,7.0957,90.195,1.409
0.903125,0.2546916890080429,3.2345807552337646,2.5e-06,0.2806,1900,0.9046875,0.31508922576904297,7.0739,90.474,1.414
0.8915178571428571,0.2680965147453083,0.5000408291816711,0.0,0.3497,2000,0.90625,0.3146015703678131,7.0743,90.469,1.414
0.88875,0.28150134048257375,3.1891939640045166,1.5e-05,0.3189,2100,0.90625,0.3150332570075989,7.0681,90.548,1.415
0.8946428571428572,0.2949061662198391,4.189616680145264,1.3333333333333333e-05,0.3112,2200,0.9078125,0.31278061866760254,7.111,90.002,1.406
0.9049107142857142,0.30831099195710454,6.102603912353516,1.1666666666666668e-05,0.2922,2300,0.896875,0.31204813718795776,7.0786,90.414,1.413
0.890625,0.32171581769436997,2.863126754760742,1e-05,0.3239,2400,0.903125,0.3132566511631012,7.0794,90.403,1.413
0.8982142857142857,0.3351206434316354,8.640049934387207,8.333333333333334e-06,0.2891,2500,0.9078125,0.3110547959804535,7.1076,90.045,1.407
0.9089285714285714,0.3485254691689008,3.613492727279663,6.666666666666667e-06,0.2762,2600,0.90625,0.3106594681739807,7.1235,89.843,1.404
0.9040178571428571,0.36193029490616624,5.8568596839904785,5e-06,0.2688,2700,0.9078125,0.31439605355262756,7.0853,90.328,1.411
0.9044642857142857,0.3753351206434316,7.4861741065979,3.3333333333333333e-06,0.2848,2800,0.9078125,0.31068843603134155,7.0857,90.323,1.411
0.903125,0.38873994638069703,3.444291114807129,1.6666666666666667e-06,0.2906,2900,0.9078125,0.3119175136089325,7.1115,89.995,1.406
0.8986607142857143,0.40214477211796246,2.9078898429870605,0.0,0.3027,3000,0.9078125,0.3116787374019623,7.0801,90.394,1.412
