loss,grad_norm,learning_rate,accuracy,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.3634,1.40556001663208,4.8333333333333334e-05,0.380625,0.013404825737265416,100,1.319008469581604,0.734375,7.0727,90.488,1.414
1.038,4.09709358215332,4.666666666666667e-05,0.7446428571428572,0.02680965147453083,200,0.4590371549129486,0.8625,7.1575,89.416,1.397
0.4027,4.305147647857666,4.5e-05,0.86875,0.040214477211796246,300,0.3580423891544342,0.884375,7.1714,89.244,1.394
0.2997,3.441866159439087,4.3333333333333334e-05,0.8986607142857143,0.05361930294906166,400,0.34903019666671753,0.8890625,7.1522,89.483,1.398
0.3199,5.5641374588012695,4.166666666666667e-05,0.8946428571428572,0.06702412868632708,500,0.33532896637916565,0.8984375,7.1535,89.466,1.398
0.3088,2.962883472442627,4e-05,0.8941964285714286,0.08042895442359249,600,0.3326078951358795,0.9,7.1721,89.235,1.394
0.3083,3.2128515243530273,3.8333333333333334e-05,0.8986607142857143,0.0938337801608579,700,0.3359754979610443,0.8984375,7.1463,89.557,1.399
0.3382,2.5766427516937256,3.6666666666666666e-05,0.8879464285714286,0.10723860589812333,800,0.3195241093635559,0.9015625,7.158,89.411,1.397
0.3067,5.363340854644775,3.5e-05,0.8977678571428571,0.12064343163538874,900,0.31575965881347656,0.9046875,7.1512,89.495,1.398
0.2974,4.695640563964844,3.3333333333333335e-05,0.9008928571428572,0.13404825737265416,1000,0.3123958706855774,0.90625,7.146,89.561,1.399
0.3004,5.922308444976807,3.1666666666666666e-05,0.9013392857142857,0.14745308310991956,1100,0.3078458905220032,0.909375,7.1773,89.17,1.393
0.3022,4.612396240234375,3e-05,0.9066964285714286,0.16085790884718498,1200,0.30971288681030273,0.903125,7.1782,89.158,1.393
0.3355,4.788301944732666,2.8333333333333335e-05,0.8973214285714286,0.1742627345844504,1300,0.3147004246711731,0.90625,7.1714,89.243,1.394
0.2922,7.046733379364014,2.6666666666666667e-05,0.8995535714285714,0.1876675603217158,1400,0.3079407513141632,0.903125,7.1935,88.97,1.39
0.2996,8.959710121154785,2.5e-05,0.8986607142857143,0.20107238605898123,1500,0.31709736585617065,0.9046875,7.1925,88.981,1.39
0.3267,2.8010032176971436,2.3333333333333336e-05,0.8986607142857143,0.21447721179624665,1600,0.30970340967178345,0.9109375,7.1723,89.232,1.394
0.2746,0.9114658832550049,2.1666666666666667e-05,0.9116071428571428,0.22788203753351208,1700,0.3101003170013428,0.9078125,7.1777,89.166,1.393
0.2893,5.990753173828125,2e-05,0.9071428571428571,0.24128686327077747,1800,0.30620676279067993,0.9109375,7.1758,89.189,1.394
0.2619,4.3263020515441895,1.8333333333333333e-05,0.9075892857142858,0.2546916890080429,1900,0.30505943298339844,0.909375,7.162,89.36,1.396
0.3322,0.5205712914466858,1.6666666666666667e-05,0.9013392857142857,0.2680965147453083,2000,0.30492502450942993,0.90625,7.277,87.949,1.374
0.3023,4.0901970863342285,1.5e-05,0.8973214285714286,0.28150134048257375,2100,0.3034149706363678,0.9109375,7.1673,89.295,1.395
0.298,4.263796329498291,1.3333333333333333e-05,0.8959821428571428,0.2949061662198391,2200,0.3018302917480469,0.909375,7.1787,89.153,1.393
0.2733,6.911836624145508,1.1666666666666668e-05,0.9058035714285714,0.30831099195710454,2300,0.3054164946079254,0.9015625,7.1866,89.054,1.391
0.3036,2.4782328605651855,1e-05,0.8977678571428571,0.32171581769436997,2400,0.30695444345474243,0.9,7.169,89.273,1.395
0.2773,8.799222946166992,8.333333333333334e-06,0.8995535714285714,0.3351206434316354,2500,0.3030260503292084,0.9078125,7.1515,89.492,1.398
0.2659,4.711201190948486,6.666666666666667e-06,0.9089285714285714,0.3485254691689008,2600,0.3019433617591858,0.9125,7.1739,89.213,1.394
0.261,6.434617519378662,5e-06,0.9071428571428571,0.36193029490616624,2700,0.30236923694610596,0.9125,7.1847,89.079,1.392
0.2712,10.763890266418457,3.3333333333333333e-06,0.9107142857142857,0.3753351206434316,2800,0.2993870973587036,0.9140625,7.1877,89.041,1.391
0.2713,3.939753532409668,1.6666666666666667e-06,0.9084821428571429,0.38873994638069703,2900,0.30090197920799255,0.9125,7.1931,88.974,1.39
0.2823,3.213589906692505,0.0,0.9084821428571429,0.40214477211796246,3000,0.3005652129650116,0.9125,7.2104,88.761,1.387
