loss,grad_norm,learning_rate,accuracy,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.3597,1.4531127214431763,4.8333333333333334e-05,0.4,0.013404825737265416,100,1.3039908409118652,0.7828125,7.1518,89.488,1.398
0.9533,5.31489896774292,4.666666666666667e-05,0.7883928571428571,0.02680965147453083,200,0.4193032383918762,0.8734375,7.2148,88.707,1.386
0.3939,3.620264768600464,4.5e-05,0.8745535714285714,0.040214477211796246,300,0.34532883763313293,0.8890625,7.18,89.137,1.393
0.297,4.483678817749023,4.3333333333333334e-05,0.9008928571428572,0.05361930294906166,400,0.34282827377319336,0.8921875,7.2026,88.857,1.388
0.321,4.750036239624023,4.166666666666667e-05,0.8933035714285714,0.06702412868632708,500,0.3321153521537781,0.90625,7.1945,88.957,1.39
0.3091,3.427661180496216,4e-05,0.8973214285714286,0.08042895442359249,600,0.32571348547935486,0.9,7.2124,88.736,1.386
0.3077,2.5396695137023926,3.8333333333333334e-05,0.9017857142857143,0.0938337801608579,700,0.33007389307022095,0.903125,7.1812,89.121,1.393
0.3333,2.4371144771575928,3.6666666666666666e-05,0.8857142857142857,0.10723860589812333,800,0.3183823227882385,0.9046875,7.1988,88.904,1.389
0.3085,5.9871063232421875,3.5e-05,0.8995535714285714,0.12064343163538874,900,0.313602477312088,0.9078125,7.1795,89.143,1.393
0.2961,4.825793743133545,3.3333333333333335e-05,0.9017857142857143,0.13404825737265416,1000,0.31056585907936096,0.90625,7.1785,89.155,1.393
0.3069,5.931748390197754,3.1666666666666666e-05,0.8977678571428571,0.14745308310991956,1100,0.30546730756759644,0.9046875,7.1783,89.157,1.393
0.3055,3.7486560344696045,3e-05,0.9017857142857143,0.16085790884718498,1200,0.30760636925697327,0.903125,7.1929,88.977,1.39
0.3324,4.765953540802002,2.8333333333333335e-05,0.8986607142857143,0.1742627345844504,1300,0.3093577027320862,0.903125,7.1898,89.015,1.391
0.2893,7.1304931640625,2.6666666666666667e-05,0.903125,0.1876675603217158,1400,0.3038492500782013,0.90625,7.1954,88.946,1.39
0.3066,9.748152732849121,2.5e-05,0.8991071428571429,0.20107238605898123,1500,0.3103218674659729,0.9046875,7.1822,89.109,1.392
0.3309,3.2218399047851562,2.3333333333333336e-05,0.9013392857142857,0.21447721179624665,1600,0.30475395917892456,0.909375,7.2024,88.859,1.388
0.2793,0.8456138968467712,2.1666666666666667e-05,0.9098214285714286,0.22788203753351208,1700,0.30581218004226685,0.903125,7.1971,88.924,1.389
0.2895,7.807845592498779,2e-05,0.903125,0.24128686327077747,1800,0.3027075231075287,0.9078125,7.2001,88.888,1.389
0.2647,4.733730792999268,1.8333333333333333e-05,0.9075892857142858,0.2546916890080429,1900,0.3010272979736328,0.9078125,7.1786,89.154,1.393
0.3436,0.4543141722679138,1.6666666666666667e-05,0.896875,0.2680965147453083,2000,0.301199346780777,0.909375,7.2117,88.745,1.387
0.3063,3.3403096199035645,1.5e-05,0.8995535714285714,0.28150134048257375,2100,0.2998467683792114,0.90625,7.2822,87.886,1.373
0.3012,5.247457981109619,1.3333333333333333e-05,0.8973214285714286,0.2949061662198391,2200,0.2978675365447998,0.9078125,7.1855,89.068,1.392
0.2713,5.905016899108887,1.1666666666666668e-05,0.9049107142857142,0.30831099195710454,2300,0.29771190881729126,0.9,7.2038,88.842,1.388
0.3044,2.212834119796753,1e-05,0.8991071428571429,0.32171581769436997,2400,0.29868847131729126,0.90625,7.2147,88.708,1.386
0.2741,6.842364311218262,8.333333333333334e-06,0.9040178571428571,0.3351206434316354,2500,0.29866403341293335,0.9046875,7.1759,89.187,1.394
0.2651,4.434722900390625,6.666666666666667e-06,0.9075892857142858,0.3485254691689008,2600,0.2964080274105072,0.9078125,7.2023,88.86,1.388
0.2606,7.509727954864502,5e-06,0.9089285714285714,0.36193029490616624,2700,0.299124538898468,0.909375,7.1709,89.25,1.395
0.273,9.588799476623535,3.3333333333333333e-06,0.9080357142857143,0.3753351206434316,2800,0.2951803207397461,0.90625,7.1821,89.111,1.392
0.274,3.400714635848999,1.6666666666666667e-06,0.909375,0.38873994638069703,2900,0.2968466877937317,0.9078125,7.2121,88.739,1.387
0.2808,3.101091146469116,0.0,0.9058035714285714,0.40214477211796246,3000,0.2966064512729645,0.9078125,7.2338,88.473,1.382
