accuracy,epoch,grad_norm,learning_rate,loss,step,eval_accuracy,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.348125,0.013404825737265416,1.3665461540222168,4.5e-05,1.3706,100,0.6578125,1.339514136314392,6.8545,93.37,1.459
0.6397321428571429,0.02680965147453083,2.48838472366333,4e-05,1.2705,200,0.8828125,1.1187183856964111,6.9024,92.721,1.449
0.8620535714285714,0.040214477211796246,2.8424768447875977,3.5e-05,0.7123,300,0.8859375,0.366034597158432,6.9375,92.253,1.441
0.8933035714285714,0.05361930294906166,1.945146918296814,3e-05,0.3403,400,0.8953125,0.3363058269023895,6.9265,92.399,1.444
0.8919642857142858,0.06702412868632708,4.319125652313232,2.5e-05,0.3295,500,0.903125,0.33101826906204224,6.9966,91.473,1.429
0.896875,0.08042895442359249,3.5890233516693115,2e-05,0.3196,600,0.890625,0.33391648530960083,6.9753,91.752,1.434
0.89375,0.0938337801608579,2.9593584537506104,1.5e-05,0.3231,700,0.8890625,0.33046475052833557,6.9811,91.676,1.432
0.8808035714285715,0.10723860589812333,2.7628729343414307,1e-05,0.3422,800,0.9,0.31712251901626587,6.9571,91.992,1.437
0.8928571428571429,0.12064343163538874,5.92466402053833,5e-06,0.3211,900,0.8984375,0.3216991424560547,7.0079,91.325,1.427
0.8946428571428572,0.13404825737265416,3.649029016494751,0.0,0.3115,1000,0.9,0.3197781443595886,6.9963,91.477,1.429
0.888125,0.14745308310991956,3.732574939727783,2.25e-05,0.326,1100,0.903125,0.31446564197540283,7.0372,90.946,1.421
0.8946428571428572,0.16085790884718498,6.077425956726074,2e-05,0.3321,1200,0.9,0.31772980093955994,7.0099,91.299,1.427
0.8892857142857142,0.1742627345844504,1.8820099830627441,1.75e-05,0.3467,1300,0.9046875,0.318043977022171,6.9926,91.525,1.43
0.903125,0.1876675603217158,4.046916961669922,1.5e-05,0.3107,1400,0.909375,0.31304842233657837,7.0046,91.368,1.428
0.9008928571428572,0.20107238605898123,11.039288520812988,1.25e-05,0.3182,1500,0.9046875,0.31434306502342224,7.0213,91.151,1.424
0.8946428571428572,0.21447721179624665,3.643385887145996,1e-05,0.3348,1600,0.909375,0.31117430329322815,7.021,91.155,1.424
0.90625,0.22788203753351208,2.054685354232788,7.5e-06,0.2824,1700,0.90625,0.3212372660636902,7.0231,91.127,1.424
0.8982142857142857,0.24128686327077747,5.089872360229492,5e-06,0.3143,1800,0.90625,0.3174613118171692,7.0148,91.235,1.426
0.9035714285714286,0.2546916890080429,3.6156232357025146,2.5e-06,0.2868,1900,0.90625,0.31579041481018066,7.0315,91.019,1.422
0.8946428571428572,0.2680965147453083,0.6196690201759338,0.0,0.3448,2000,0.90625,0.3152129650115967,6.9854,91.62,1.432
0.90125,0.28150134048257375,1.7137786149978638,1.5e-05,0.3131,2100,0.9078125,0.31245091557502747,6.9059,92.675,1.448
0.8982142857142857,0.2949061662198391,3.3039391040802,1.3333333333333333e-05,0.3058,2200,0.9078125,0.31188422441482544,6.9535,92.04,1.438
0.9013392857142857,0.30831099195710454,5.33261775970459,1.1666666666666668e-05,0.2936,2300,0.9015625,0.3115541338920593,6.957,91.994,1.437
0.8959821428571428,0.32171581769436997,3.1306614875793457,1e-05,0.3246,2400,0.9078125,0.3119712769985199,6.9719,91.797,1.434
0.9017857142857143,0.3351206434316354,7.713364124298096,8.333333333333334e-06,0.2858,2500,0.9078125,0.31104928255081177,6.986,91.612,1.431
0.9080357142857143,0.3485254691689008,4.2187933921813965,6.666666666666667e-06,0.2884,2600,0.909375,0.31047073006629944,6.9831,91.65,1.432
0.9071428571428571,0.36193029490616624,5.964877128601074,5e-06,0.2744,2700,0.9078125,0.31245604157447815,7.0,91.429,1.429
0.9044642857142857,0.3753351206434316,1.8589000701904297,3.3333333333333333e-06,0.2877,2800,0.909375,0.30998656153678894,6.9919,91.534,1.43
0.9049107142857142,0.38873994638069703,3.413348913192749,1.6666666666666667e-06,0.2949,2900,0.9078125,0.31161680817604065,7.0603,90.648,1.416
0.9035714285714286,0.40214477211796246,2.2188336849212646,0.0,0.2856,3000,0.9078125,0.311312198638916,7.0132,91.256,1.426
