loss,grad_norm,learning_rate,accuracy,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.3694,1.3656322956085205,4.75e-05,0.351875,0.013404825737265416,100,1.3302295207977295,0.5578125,7.008,91.324,1.427
1.1079,3.2417073249816895,4.5e-05,0.6808035714285714,0.02680965147453083,200,0.5393491387367249,0.8796875,7.0789,90.409,1.413
0.4167,3.64047908782959,4.25e-05,0.8736607142857142,0.040214477211796246,300,0.35065093636512756,0.8796875,7.1596,89.39,1.397
0.3212,3.398172616958618,4e-05,0.8879464285714286,0.05361930294906166,400,0.3473782539367676,0.88125,7.1172,89.923,1.405
0.3214,5.261271953582764,3.7500000000000003e-05,0.8897321428571429,0.06702412868632708,500,0.3275693655014038,0.903125,7.1038,90.093,1.408
0.3086,7.006484508514404,3.5e-05,0.9008928571428572,0.08042895442359249,600,0.3439520597457886,0.8890625,7.0794,90.403,1.413
0.3146,2.337054967880249,3.2500000000000004e-05,0.8964285714285715,0.0938337801608579,700,0.3268943428993225,0.8984375,7.1093,90.022,1.407
0.3248,2.991849422454834,3e-05,0.8919642857142858,0.10723860589812333,800,0.3125270903110504,0.90625,7.0978,90.169,1.409
0.2955,9.767242431640625,2.7500000000000004e-05,0.8995535714285714,0.12064343163538874,900,0.3175061345100403,0.9078125,7.0804,90.39,1.412
0.2936,4.0773749351501465,2.5e-05,0.9008928571428572,0.13404825737265416,1000,0.3130757212638855,0.90625,7.1149,89.953,1.406
0.3134,3.8835694789886475,2.25e-05,0.8995535714285714,0.14745308310991956,1100,0.30896493792533875,0.9078125,7.0884,90.288,1.411
0.3127,6.548745632171631,2e-05,0.8991071428571429,0.16085790884718498,1200,0.3130841553211212,0.9078125,7.0745,90.466,1.414
0.3347,3.824338436126709,1.75e-05,0.8924107142857143,0.1742627345844504,1300,0.31339001655578613,0.9015625,7.0975,90.173,1.409
0.2995,3.752401351928711,1.5e-05,0.8991071428571429,0.1876675603217158,1400,0.30813688039779663,0.90625,7.0775,90.427,1.413
0.3046,8.50735855102539,1.25e-05,0.9022321428571428,0.20107238605898123,1500,0.30707448720932007,0.90625,7.1569,89.424,1.397
0.3263,3.771677017211914,1e-05,0.8995535714285714,0.21447721179624665,1600,0.30461210012435913,0.90625,7.1049,90.079,1.407
0.2682,2.610734224319458,7.5e-06,0.9098214285714286,0.22788203753351208,1700,0.3132437765598297,0.9078125,7.0944,90.212,1.41
0.2898,7.869924068450928,5e-06,0.9058035714285714,0.24128686327077747,1800,0.3115953505039215,0.9046875,7.1174,89.921,1.405
0.2723,4.433645725250244,2.5e-06,0.9071428571428571,0.2546916890080429,1900,0.3099253475666046,0.90625,7.1108,90.004,1.406
0.3345,0.5006693005561829,0.0,0.8986607142857143,0.2680965147453083,2000,0.3086247146129608,0.9078125,7.1233,89.845,1.404
