loss,grad_norm,learning_rate,accuracy,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.368,2.6652259826660156,4.75e-05,0.368125,0.013404825737265416,100,1.3396528959274292,0.6765625,6.7402,94.952,1.484
1.3099,2.154585599899292,4.5e-05,0.5638392857142858,0.02680965147453083,200,1.2600854635238647,0.8,6.8072,94.018,1.469
1.1741,2.2893717288970947,4.25e-05,0.7816964285714286,0.040214477211796246,300,1.054296851158142,0.86875,6.7874,94.292,1.473
0.8595,1.2529568672180176,4e-05,0.8714285714285714,0.05361930294906166,400,0.6362451314926147,0.875,6.8405,93.56,1.462
0.5392,1.6700714826583862,3.7500000000000003e-05,0.8803571428571428,0.06702412868632708,500,0.3904351592063904,0.8796875,6.8423,93.535,1.461
0.4168,2.0138111114501953,3.5e-05,0.8852678571428572,0.08042895442359249,600,0.34639373421669006,0.8828125,6.8448,93.501,1.461
0.3729,1.008495807647705,3.2500000000000004e-05,0.884375,0.0938337801608579,700,0.3302343487739563,0.8921875,6.8694,93.167,1.456
0.3844,1.2979094982147217,3e-05,0.878125,0.10723860589812333,800,0.320406049489975,0.89375,6.8577,93.326,1.458
0.3537,3.230562210083008,2.7500000000000004e-05,0.8901785714285714,0.12064343163538874,900,0.3193914294242859,0.8953125,6.8624,93.262,1.457
0.3563,1.50729501247406,2.5e-05,0.8861607142857143,0.13404825737265416,1000,0.3144831657409668,0.896875,6.8662,93.211,1.456
0.3566,2.5492045879364014,2.25e-05,0.8866071428571428,0.14745308310991956,1100,0.31167030334472656,0.8984375,6.862,93.268,1.457
0.349,1.7524560689926147,2e-05,0.8924107142857143,0.16085790884718498,1200,0.3125075697898865,0.8984375,6.86,93.295,1.458
0.3722,1.857727289199829,1.75e-05,0.8857142857142857,0.1742627345844504,1300,0.3124901354312897,0.9,6.8846,92.961,1.453
0.334,2.1843361854553223,1.5e-05,0.8982142857142857,0.1876675603217158,1400,0.31266388297080994,0.9,6.867,93.199,1.456
0.3294,3.1910793781280518,1.25e-05,0.8933035714285714,0.20107238605898123,1500,0.3112190067768097,0.903125,6.8592,93.305,1.458
0.3686,2.7855522632598877,1e-05,0.8919642857142858,0.21447721179624665,1600,0.30816924571990967,0.90625,6.8686,93.177,1.456
0.3132,0.847448468208313,7.5e-06,0.9040178571428571,0.22788203753351208,1700,0.3094126284122467,0.90625,6.9117,92.597,1.447
0.3309,2.353013277053833,5e-06,0.9,0.24128686327077747,1800,0.31016701459884644,0.9046875,6.8814,93.005,1.453
0.3184,1.6127756834030151,2.5e-06,0.9008928571428572,0.2546916890080429,1900,0.30981457233428955,0.9046875,6.9189,92.5,1.445
0.3766,0.41411447525024414,0.0,0.8875,0.2680965147453083,2000,0.3096933364868164,0.90625,6.8851,92.954,1.452
