Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,loss spread,loss ratio,Acc spread,Acc ratio
100,1.3664,1.3266671895980835,0.3625,0.715625,4.75e-05,0.0134048257372654,0.03973281040191656,1.0299493427691941,0.35312499999999997,1.9741379310344827
200,1.096,0.519973635673523,0.7178571428571429,0.8640625,4.5e-05,0.0268096514745308,0.5760263643264771,2.107799174433813,0.1462053571428571,1.2036691542288556
300,0.4211,0.3435867130756378,0.8674107142857143,0.884375,4.25e-05,0.0402144772117962,0.07751328692436216,1.2256003622215106,0.016964285714285765,1.0195573854863613
400,0.3104,0.3304859101772308,0.8959821428571428,0.8953125,4e-05,0.0536193029490616,-0.02008591017723077,0.9392230967835838,-0.0006696428571428825,0.9992526158445441
500,0.3118,0.3318641781806946,0.8964285714285715,0.903125,3.75e-05,0.067024128686327,-0.02006417818069456,0.9395409944794646,0.006696428571428492,1.0074701195219122
600,0.3062,0.335935115814209,0.8964285714285715,0.8921875,3.5e-05,0.0804289544235924,-0.029735115814208957,0.9114855386816597,-0.004241071428571441,0.9952689243027888
700,0.316,0.321524441242218,0.8955357142857143,0.9015625,3.2500000000000004e-05,0.0938337801608579,-0.0055244412422180145,0.9828179742078885,0.006026785714285721,1.0067298105682951
800,0.3236,0.3093613386154175,0.8919642857142858,0.903125,3e-05,0.1072386058981233,0.014238661384582518,1.0460259884066616,0.01116071428571419,1.0125125125125125
900,0.3064,0.3146687150001526,0.8977678571428571,0.9078125,2.7500000000000004e-05,0.1206434316353887,-0.008268715000152582,0.9737224750793908,0.010044642857142905,1.0111884634510195
1000,0.2941,0.3122649490833282,0.9022321428571428,0.9046875,2.5e-05,0.1340482573726541,-0.01816494908332822,0.941828408418388,0.002455357142857162,1.0027214250371104
1100,0.3032,0.3097771108150482,0.9013392857142856,0.90625,2.25e-05,0.1474530831099195,-0.006577110815048193,0.9787682479259255,0.004910714285714435,1.005448241703814
1200,0.317,0.3120042979717254,0.8995535714285714,0.903125,2e-05,0.1608579088471849,0.004995702028274596,1.0160116449060177,0.0035714285714285587,1.003970223325062
1300,0.3285,0.3125413060188293,0.8977678571428571,0.909375,1.75e-05,0.1742627345844504,0.015958693981170724,1.0510610715250843,0.011607142857142927,1.0129288910989558
1400,0.2958,0.3083402514457702,0.9044642857142856,0.9078125,1.5e-05,0.1876675603217158,-0.0125402514457702,0.9593298267515497,0.0033482142857144126,1.0037018756169793
1500,0.2997,0.3100603520870209,0.903125,0.909375,1.25e-05,0.2010723860589812,-0.010360352087020852,0.9665860145701146,0.006250000000000089,1.0069204152249136
1600,0.3201,0.3059918284416199,0.8991071428571429,0.9078125,1e-05,0.2144772117962466,0.014108171558380123,1.0461063670563733,0.00870535714285714,1.009682224428997
1700,0.2718,0.3129530847072601,0.9066964285714286,0.909375,7.5e-06,0.227882037533512,-0.04115308470726009,0.8685007858422129,0.002678571428571419,1.0029542097488922
1800,0.2972,0.3116834461688995,0.9053571428571427,0.9109375,5e-06,0.2412868632707774,-0.014483446168899461,0.9535315514926289,0.005580357142857206,1.0061637080867851
1900,0.2797,0.3096340298652649,0.9071428571428573,0.9078125,2.5e-06,0.2546916890080429,-0.02993402986526489,0.9033244831703722,0.0006696428571427715,1.0007381889763778
2000,0.3323,0.3089916110038757,0.8977678571428571,0.9109375,0.0,0.2680965147453083,0.023308388996124307,1.0754337275384216,0.013169642857142838,1.014669318746892
