loss,grad_norm,learning_rate,accuracy,epoch,step,eval_loss,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second
1.3638,1.3738126754760742,4.75e-05,0.3875,0.013404825737265416,100,1.3148233890533447,0.7515625,7.1103,90.011,1.406
0.9138,4.965827465057373,4.5e-05,0.7633928571428571,0.02680965147453083,200,0.377566933631897,0.878125,7.1248,89.827,1.404
0.3793,3.349004030227661,4.25e-05,0.8763392857142858,0.040214477211796246,300,0.3476307690143585,0.890625,7.1934,88.97,1.39
0.2865,3.920152425765991,4e-05,0.9017857142857143,0.05361930294906166,400,0.34245792031288147,0.896875,7.1873,89.046,1.391
0.3104,4.383872985839844,3.7500000000000003e-05,0.8964285714285715,0.06702412868632708,500,0.3309611976146698,0.9015625,7.1635,89.342,1.396
0.3051,2.8456194400787354,3.5e-05,0.896875,0.08042895442359249,600,0.3234959542751312,0.903125,7.2242,88.591,1.384
0.3087,2.1865317821502686,3.2500000000000004e-05,0.8995535714285714,0.0938337801608579,700,0.3270586133003235,0.9015625,7.2209,88.631,1.385
0.3226,2.488058567047119,3e-05,0.89375,0.10723860589812333,800,0.3110332190990448,0.90625,7.1856,89.067,1.392
0.3025,5.465976715087891,2.7500000000000004e-05,0.903125,0.12064343163538874,900,0.3102186322212219,0.9015625,7.1826,89.104,1.392
0.2902,4.327528476715088,2.5e-05,0.9035714285714286,0.13404825737265416,1000,0.3072780668735504,0.9046875,7.1813,89.12,1.393
0.2979,4.851837158203125,2.25e-05,0.9035714285714286,0.14745308310991956,1100,0.3050428628921509,0.9015625,7.196,88.938,1.39
0.2989,4.769665241241455,2e-05,0.9035714285714286,0.16085790884718498,1200,0.30647188425064087,0.9046875,7.2031,88.85,1.388
0.3247,3.7886548042297363,1.75e-05,0.8955357142857143,0.1742627345844504,1300,0.309440940618515,0.9046875,7.2283,88.54,1.383
0.2832,4.301166534423828,1.5e-05,0.9040178571428571,0.1876675603217158,1400,0.3052237629890442,0.9046875,7.1912,88.998,1.391
0.2974,8.42149543762207,1.25e-05,0.9,0.20107238605898123,1500,0.3082626760005951,0.9046875,7.1784,89.156,1.393
0.3225,2.843899726867676,1e-05,0.8986607142857143,0.21447721179624665,1600,0.30433571338653564,0.9046875,7.1823,89.107,1.392
0.2707,1.419976830482483,7.5e-06,0.9098214285714286,0.22788203753351208,1700,0.31050434708595276,0.9046875,7.2139,88.717,1.386
0.2859,6.47307825088501,5e-06,0.9026785714285714,0.24128686327077747,1800,0.3058308959007263,0.903125,7.2,88.889,1.389
0.2642,3.3582451343536377,2.5e-06,0.90625,0.2546916890080429,1900,0.30401211977005005,0.9046875,7.1827,89.103,1.392
0.3359,0.47486060857772827,0.0,0.9,0.2680965147453083,2000,0.3035476505756378,0.903125,7.1858,89.064,1.392
