Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,Loss Spread,Loss Ratio,Acc Spread,Acc Ratio
100,1.3745,1.3437803983688354,0.330625,0.6640625,4.75e-05,0.013404825737265416,0.030719601631164606,1.02286058173527,-0.3334375,0.4978823529411765
200,1.3056,1.2442214488983154,0.5790178571428571,0.828125,4.5e-05,0.02680965147453083,0.061378551101684664,1.0493308897351286,-0.24910714285714286,0.6991913746630728
300,1.1147,0.9329643249511719,0.8053571428571429,0.8609375,4.25e-05,0.040214477211796246,0.18173567504882815,1.1947938095685915,-0.05558035714285714,0.9354420534093856
400,0.7134,0.486278235912323,0.8714285714285714,0.8796875,4e-05,0.05361930294906166,0.22712176408767704,1.4670613391972318,-0.008258928571428514,0.9906115199188024
500,0.4516,0.34820419549942017,0.8830357142857143,0.8859375,3.7500000000000003e-05,0.06702412868632708,0.10339580450057984,1.2969401455725769,-0.0029017857142857872,0.9967246157722347
600,0.3888,0.33151960372924805,0.8848214285714285,0.8875,3.5e-05,0.08042895442359249,0.05728039627075193,1.1727813246227599,-0.002678571428571419,0.9969818913480886
700,0.3549,0.3225654661655426,0.8879464285714286,0.8953125,3.2500000000000004e-05,0.0938337801608579,0.03233453383445739,1.100241771752042,-0.007366071428571375,0.9917726252804787
800,0.3743,0.3123164176940918,0.8772321428571429,0.9,3e-05,0.10723860589812333,0.061983582305908225,1.1984640537425093,-0.022767857142857117,0.9747023809523809
900,0.3469,0.3140251934528351,0.8924107142857143,0.9015625,2.7500000000000004e-05,0.12064343163538874,0.0328748065471649,1.104688436573171,-0.009151785714285765,0.9898489725179499
1000,0.3434,0.3102889060974121,0.8888392857142857,0.9,2.5e-05,0.13404825737265416,0.033111093902587874,1.1067105309017815,-0.011160714285714302,0.9875992063492063
1100,0.3414,0.3062824606895447,0.8915178571428571,0.903125,2.25e-05,0.14745308310991956,0.035117539310455304,1.1146573631131014,-0.011607142857142816,0.9871478002965892
1200,0.3397,0.3070257604122162,0.8946428571428572,0.9015625,2e-05,0.16085790884718498,0.032674239587783815,1.1064218179735636,-0.00691964285714286,0.9923248328794256
1300,0.365,0.3077346086502075,0.884375,0.90625,1.75e-05,0.1742627345844504,0.05726539134979247,1.1860869390055646,-0.021874999999999978,0.9758620689655173
1400,0.3206,0.30725017189979553,0.9008928571428572,0.90625,1.5e-05,0.1876675603217158,0.013349828100204464,1.0434493755289365,-0.005357142857142838,0.994088669950739
1500,0.3227,0.3067246377468109,0.8977678571428571,0.9078125,1.25e-05,0.20107238605898123,0.015975362253189074,1.0520837268585386,-0.010044642857142905,0.9889353331694123
1600,0.3636,0.3036611080169678,0.8897321428571429,0.903125,1e-05,0.21447721179624665,0.059938891983032205,1.19738745068296,-0.013392857142857095,0.9851705388037568
1700,0.3091,0.30498138070106506,0.9044642857142857,0.909375,7.5e-06,0.22788203753351208,0.004118619298934922,1.0135044942398366,-0.004910714285714324,0.9945999018163966
1800,0.3228,0.3057595491409302,0.9040178571428571,0.909375,5e-06,0.24128686327077747,0.0170404508590698,1.0557315410326418,-0.005357142857142949,0.9941089837997054
1900,0.3102,0.30531182885169983,0.903125,0.909375,2.5e-06,0.2546916890080429,0.004888171148300147,1.016010421760221,-0.006250000000000089,0.9931271477663229
2000,0.3702,0.3051837086677551,0.8870535714285714,0.9109375,0.0,0.2680965147453083,0.06501629133224485,1.2130398493945371,-0.023883928571428514,0.9737809360450871
