Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,Loss Spread,Loss Ratio,Acc Spread,Acc Ratio
100,1.3695,1.3251219987869263,0.350625,0.7765625,4.75e-05,0.013404825737265416,0.04437800121307367,1.0334897475505647,-0.4259375,0.4515090543259557
200,0.9839,0.4096902012825012,0.7660714285714286,0.871875,4.5e-05,0.02680965147453083,0.5742097987174988,2.40157074033009,-0.10580357142857133,0.8786482334869433
300,0.3845,0.34147804975509644,0.8736607142857142,0.88125,4.25e-05,0.040214477211796246,0.04302195024490357,1.1259874544667172,-0.007589285714285743,0.9913880445795339
400,0.3053,0.32362890243530273,0.8964285714285715,0.89375,4e-05,0.05361930294906166,-0.01832890243530272,0.9433644452106162,0.002678571428571419,1.002997002997003
500,0.3152,0.3182935118675232,0.8901785714285714,0.9,3.7500000000000003e-05,0.06702412868632708,-0.003093511867523213,0.9902809458811377,-0.009821428571428648,0.9890873015873015
600,0.3044,0.32280001044273376,0.8977678571428571,0.9,3.5e-05,0.08042895442359249,-0.01840001044273376,0.9429987303361689,-0.0022321428571429047,0.9975198412698412
700,0.3188,0.30736467242240906,0.896875,0.903125,3.2500000000000004e-05,0.0938337801608579,0.011435327577590915,1.037204430448908,-0.006249999999999978,0.9930795847750865
800,0.317,0.30068472027778625,0.8919642857142858,0.90625,3e-05,0.10723860589812333,0.01631527972221375,1.0542604217039726,-0.014285714285714235,0.9842364532019705
900,0.3038,0.30471810698509216,0.8995535714285714,0.9109375,2.7500000000000004e-05,0.12064343163538874,-0.0009181069850921486,0.9969870284566416,-0.011383928571428559,0.9875030629747611
1000,0.2855,0.30255791544914246,0.9066964285714286,0.90625,2.5e-05,0.13404825737265416,-0.01705791544914248,0.943620990963597,0.00044642857142862535,1.0004926108374386
1100,0.2999,0.30010324716567993,0.9026785714285714,0.9046875,2.25e-05,0.14745308310991956,-0.00020324716567993173,0.9993227425307807,-0.0020089285714285365,0.9977794226498891
1200,0.3183,0.30498987436294556,0.9004464285714285,0.9046875,2e-05,0.16085790884718498,0.01331012563705447,1.0436412050231383,-0.004241071428571441,0.995312114483099
1300,0.3313,0.30063822865486145,0.8955357142857143,0.9078125,1.75e-05,0.1742627345844504,0.030661771345138533,1.10198893029116,-0.012276785714285698,0.9864765183181706
1400,0.2898,0.2974715828895569,0.9044642857142857,0.909375,1.5e-05,0.1876675603217158,-0.007671582889556883,0.9742107033719415,-0.004910714285714324,0.9945999018163966
1500,0.3015,0.2985509932041168,0.9022321428571428,0.9109375,1.25e-05,0.20107238605898123,0.002949006795883169,1.0098777323238277,-0.00870535714285714,0.9904435187454056
1600,0.3143,0.2954871654510498,0.8986607142857143,0.909375,1e-05,0.21447721179624665,0.01881283454895022,1.0636671799948845,-0.010714285714285787,0.9882179675994108
1700,0.273,0.30174389481544495,0.9066964285714286,0.9109375,7.5e-06,0.22788203753351208,-0.028743894815444926,0.9047407576115981,-0.00424107142857133,0.9953442783631464
1800,0.2909,0.2996358275413513,0.9084821428571429,0.909375,5e-06,0.24128686327077747,-0.008735827541351326,0.9708451835915859,-0.0008928571428571397,0.9990181639666176
1900,0.2735,0.2980074882507324,0.9071428571428571,0.9046875,2.5e-06,0.2546916890080429,-0.0245074882507324,0.9177621730427368,0.002455357142857162,1.002714038983469
2000,0.3274,0.29782113432884216,0.8964285714285715,0.9046875,0.0,0.2680965147453083,0.02957886567115786,1.099317550911273,-0.008258928571428514,0.990870959782877
