Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,Loss Spread,Loss Ratio,Acc Spread,Acc Ratio
100,1.3661,1.3160617351531982,0.36125,0.68125,4.75e-05,0.013404825737265416,0.05003826484680185,1.038021213982775,-0.32,0.5302752293577981
200,0.8738,0.3863977789878845,0.7535714285714286,0.865625,4.5e-05,0.02680965147453083,0.4874022210121155,2.261400162000926,-0.11205357142857142,0.8705518308406395
300,0.371,0.34097209572792053,0.871875,0.8875,4.25e-05,0.040214477211796246,0.030027904272079464,1.088065576768019,-0.015625,0.9823943661971831
400,0.3084,0.3326980471611023,0.8946428571428572,0.896875,4e-05,0.05361930294906166,-0.024298047161102287,0.9269666673175979,-0.0022321428571427937,0.997511199601792
500,0.3186,0.3237568438053131,0.8915178571428571,0.9015625,3.7500000000000003e-05,0.06702412868632708,-0.005156843805313116,0.9840718616332506,-0.010044642857142905,0.9888586283733597
600,0.2995,0.3383703827857971,0.8995535714285714,0.8921875,3.5e-05,0.08042895442359249,-0.03887038278579713,0.8851247486089711,0.007366071428571375,1.008256192144108
700,0.3087,0.3202989995479584,0.8977678571428571,0.9046875,3.2500000000000004e-05,0.0938337801608579,-0.0115989995479584,0.9637869629179979,-0.00691964285714286,0.9923513446829509
800,0.3181,0.3100103735923767,0.8941964285714286,0.90625,3e-05,0.10723860589812333,0.008089626407623285,1.0260946958447916,-0.012053571428571441,0.9866995073891626
900,0.2905,0.3136325776576996,0.9044642857142857,0.9046875,2.7500000000000004e-05,0.12064343163538874,-0.023132577657699605,0.926243064956898,-0.00022321428571425717,0.9997532691833211
1000,0.2904,0.30826789140701294,0.9017857142857143,0.9046875,2.5e-05,0.13404825737265416,-0.017867891407012948,0.9420377797847861,-0.0029017857142856762,0.996792499383173
1100,0.3099,0.3055441081523895,0.9017857142857143,0.9078125,2.25e-05,0.14745308310991956,0.004355891847610482,1.0142561801435164,-0.006026785714285721,0.9933611999016474
1200,0.3032,0.3071112036705017,0.9022321428571428,0.90625,2e-05,0.16085790884718498,-0.003911203670501684,0.9872645360255303,-0.004017857142857184,0.9955665024630541
1300,0.3332,0.3081328272819519,0.8973214285714286,0.9046875,1.75e-05,0.1742627345844504,0.025067172718048092,1.0813518408251608,-0.007366071428571375,0.991857883049593
1400,0.2971,0.30403071641921997,0.9013392857142857,0.9046875,1.5e-05,0.1876675603217158,-0.0069307164192199955,0.9772038940642319,-0.0033482142857143016,0.996299037749815
1500,0.3006,0.30273109674453735,0.9008928571428572,0.9046875,1.25e-05,0.20107238605898123,-0.002131096744537375,0.9929604300071766,-0.003794642857142816,0.995805576116457
1600,0.3245,0.3007049858570099,0.8955357142857143,0.9015625,1e-05,0.21447721179624665,0.023795014142990123,1.0791307602538558,-0.006026785714285721,0.9933151770240158
1700,0.2651,0.30749207735061646,0.9089285714285714,0.9078125,7.5e-06,0.22788203753351208,-0.04239207735061645,0.8621360338260713,0.0011160714285713969,1.0012294074256207
1800,0.2878,0.3050992488861084,0.9075892857142858,0.90625,5e-06,0.24128686327077747,-0.017299248886108398,0.9432996018532772,0.001339285714285765,1.0014778325123153
1900,0.2678,0.3037489056587219,0.9111607142857143,0.9046875,2.5e-06,0.2546916890080429,-0.03594890565872194,0.8816492669141911,0.006473214285714346,1.007155193683691
2000,0.3269,0.3029094338417053,0.9,0.9046875,0.0,0.2680965147453083,0.0239905661582947,1.0792004588765358,-0.004687499999999956,0.994818652849741
2100,0.3018,0.30121302604675293,0.890625,0.9078125,1.5e-05,0.28150134048257375,0.000586973953247083,1.0019487004295624,-0.017187500000000022,0.9810671256454389
2200,0.2945,0.2990122139453888,0.9013392857142857,0.9046875,1.3333333333333333e-05,0.2949061662198391,-0.00451221394538881,0.9849095998927558,-0.0033482142857143016,0.996299037749815
2300,0.2698,0.3030942380428314,0.9040178571428571,0.9015625,1.1666666666666668e-05,0.30831099195710454,-0.03329423804283144,0.8901521907581545,0.002455357142857051,1.0027234463976231
2400,0.3011,0.3001886308193207,0.8995535714285714,0.9046875,1e-05,0.32171581769436997,0.0009113691806793001,1.0030359883323756,-0.005133928571428581,0.994325191216383
2500,0.2767,0.29812124371528625,0.8991071428571429,0.909375,8.333333333333334e-06,0.3351206434316354,-0.021421243715286253,0.9281458662645856,-0.010267857142857162,0.988708885616102
2600,0.2652,0.2981787621974945,0.9102678571428572,0.909375,6.666666666666667e-06,0.3485254691689008,-0.032978762197494516,0.8893993591144781,0.0008928571428571397,1.0009818360333824
2700,0.2631,0.3002076745033264,0.9084821428571429,0.909375,5e-06,0.36193029490616624,-0.037107674503326415,0.8763933181764304,-0.0008928571428571397,0.9990181639666176
2800,0.2666,0.2976713180541992,0.9107142857142857,0.9078125,3.3333333333333333e-06,0.3753351206434316,-0.031071318054199215,0.8956187036853116,0.0029017857142856762,1.0031964593066143
2900,0.2775,0.29859915375709534,0.9044642857142857,0.909375,1.6666666666666667e-06,0.38873994638069703,-0.021099153757095312,0.9293395393402251,-0.004910714285714324,0.9945999018163966
3000,0.2659,0.2985028922557831,0.9102678571428572,0.9078125,0.0,0.40214477211796246,-0.032602892255783056,0.8907786386610751,0.002455357142857162,1.002704696336366
