Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,loss spread,loss ratio,Acc spread,Acc ratio
100,1.3433,1.1956831216812134,0.436875,0.8234375,4.75e-05,0.0134048257372654,0.14761687831878656,1.1234581935983399,0.38656250000000003,1.8848354792560802
200,0.5702,0.3437617421150207,0.8477678571428572,0.88125,4.5e-05,0.0268096514745308,0.22643825788497934,1.6587069767909612,0.033482142857142794,1.0394944707740916
300,0.3438,0.3348185420036316,0.8803571428571428,0.884375,4.25e-05,0.0402144772117962,0.008981457996368403,1.026824852478663,0.004017857142857184,1.0045638945233266
400,0.3039,0.321491003036499,0.8973214285714286,0.9015625,4e-05,0.0536193029490616,-0.01759100303649902,0.9452830627596073,0.004241071428571441,1.004726368159204
500,0.3075,0.3153510689735412,0.896875,0.9015625,3.75e-05,0.067024128686327,-0.007851068973541209,0.9751037185347232,0.004687500000000067,1.005226480836237
600,0.2906,0.3190912306308746,0.9049107142857142,0.90625,3.5e-05,0.0804289544235924,-0.028491230630874553,0.9107113330111122,0.001339285714285765,1.0014800197335965
700,0.3001,0.3070904910564422,0.9058035714285714,0.909375,3.2500000000000004e-05,0.0938337801608579,-0.006990491056442227,0.9772363806108298,0.0035714285714286698,1.0039428289797931
800,0.3033,0.3014134764671325,0.9013392857142856,0.90625,3e-05,0.1072386058981233,0.0018865235328675012,1.0062589223115683,0.004910714285714435,1.005448241703814
900,0.287,0.3067047595977783,0.9013392857142856,0.90625,2.7500000000000004e-05,0.1206434316353887,-0.019704759597778343,0.93575332960721,0.004910714285714435,1.005448241703814
1000,0.2843,0.301540195941925,0.9026785714285714,0.90625,2.5e-05,0.1340482573726541,-0.017240195941924996,0.9428262096598048,0.0035714285714285587,1.0039564787339268
1100,0.302,0.2979859709739685,0.903125,0.90625,2.25e-05,0.1474530831099195,0.004014029026031485,1.013470530216277,0.0031250000000000444,1.0034602076124568
1200,0.2936,0.300313651561737,0.9026785714285714,0.909375,2e-05,0.1608579088471849,-0.006713651561736977,0.977644534216731,0.006696428571428603,1.0074183976261128
1300,0.3131,0.3012125492095947,0.9026785714285714,0.90625,1.75e-05,0.1742627345844504,0.011887450790405263,1.0394653238107072,0.0035714285714285587,1.0039564787339268
1400,0.2843,0.2967160940170288,0.9058035714285714,0.909375,1.5e-05,0.1876675603217158,-0.012416094017028811,0.9581549694560342,0.0035714285714286698,1.0039428289797931
1500,0.292,0.296609103679657,0.9053571428571427,0.9078125,1.25e-05,0.2010723860589812,-0.004609103679657001,0.984460680328157,0.002455357142857273,1.0027120315581854
1600,0.3145,0.2945351004600525,0.9026785714285714,0.9078125,1e-05,0.2144772117962466,0.01996489953994751,1.0677844491497384,0.005133928571428581,1.0056874381800198
1700,0.2584,0.3028626143932342,0.9107142857142856,0.9125,7.5e-06,0.227882037533512,-0.04446261439323418,0.8531921330656405,0.0017857142857143904,1.0019607843137257
1800,0.277,0.2990583777427673,0.9111607142857144,0.909375,5e-06,0.2412868632707774,-0.022058377742767254,0.9262405624304543,-0.0017857142857143904,0.9980401763841253
1900,0.2616,0.2979587614536285,0.9120535714285716,0.9109375,2.5e-06,0.2546916890080429,-0.036358761453628485,0.8779738468630767,-0.001116071428571619,0.9987763093489964
2000,0.318,0.2971253097057342,0.9071428571428573,0.9125,0.0,0.2680965147453083,0.020874690294265807,1.0702555104273668,0.005357142857142727,1.0059055118110234
