Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,loss spread,loss ratio,Acc spread,Acc ratio
100,1.3722,1.3452800512313845,0.339375,0.653125,4.5e-05,0.0134048257372654,0.026919948768615587,1.0200106652469683,0.31375,1.9244935543278083
200,1.3195,1.2697324752807615,0.58125,0.8359375,4e-05,0.0268096514745308,0.0497675247192384,1.0391952838004193,0.25468749999999996,1.4381720430107525
300,1.1933,1.077601194381714,0.7732142857142857,0.85,3.5e-05,0.0402144772117962,0.11569880561828594,1.1073669983120884,0.07678571428571423,1.0993071593533486
400,0.9079,0.6987970471382141,0.8607142857142858,0.8796875,3e-05,0.0536193029490616,0.20910295286178593,1.2992327367697474,0.01897321428571419,1.0220435684647302
500,0.5995,0.4461274147033691,0.8794642857142857,0.8875,2.5e-05,0.067024128686327,0.15337258529663095,1.3437865063697298,0.008035714285714257,1.0091370558375634
600,0.4563,0.3708707392215729,0.8834821428571429,0.8859375,2e-05,0.0804289544235924,0.08542926077842711,1.2303478051618095,0.002455357142857162,1.00277918140475
700,0.3918,0.3450231850147247,0.8866071428571428,0.8875,1.5e-05,0.0938337801608579,0.046776814985275306,1.135575859875269,0.0008928571428571397,1.001007049345418
800,0.4072,0.3349761962890625,0.8772321428571429,0.884375,1e-05,0.1072386058981233,0.0722238037109375,1.2156087641780167,0.0071428571428571175,1.008142493638677
900,0.3869,0.331971675157547,0.8816964285714286,0.8875,5e-06,0.1206434316353887,0.054928324842453025,1.1654608779992606,0.0058035714285713524,1.0065822784810126
1000,0.374,0.3305284678936004,0.8861607142857143,0.890625,0.0,0.1340482573726541,0.04347153210639959,1.131521294923357,0.004464285714285698,1.0050377833753148
1100,0.3704,0.3228305280208587,0.889375,0.890625,2.25e-05,0.1474530831099195,0.0475694719791413,1.1473512194487,0.0012499999999999734,1.0014054813773716
1200,0.3659,0.3209982812404632,0.8879464285714286,0.89375,2e-05,0.1608579088471849,0.0449017187595368,1.1398814927793972,0.0058035714285714635,1.0065359477124183
1300,0.3793,0.3200264275074005,0.8808035714285715,0.8953125,1.75e-05,0.1742627345844504,0.05927357249259951,1.1852146179122311,0.014508928571428492,1.0164723770907247
1400,0.3422,0.3194063305854797,0.8950892857142857,0.896875,1.5e-05,0.1876675603217158,0.022793669414520323,1.0713626100420082,0.0017857142857142794,1.001995012468828
1500,0.3494,0.3177661001682281,0.8946428571428572,0.8921875,1.25e-05,0.2010723860589812,0.031633899831771894,1.0995508955015172,-0.002455357142857162,0.997255489021956
1600,0.3721,0.3150946497917175,0.8910714285714286,0.8921875,1e-05,0.2144772117962466,0.05700535020828251,1.180915005208638,0.0011160714285713969,1.00125250501002
1700,0.3223,0.3163947463035583,0.8950892857142857,0.9,7.5e-06,0.227882037533512,0.005905253696441681,1.0186641964363594,0.004910714285714324,1.0054862842892769
1800,0.3277,0.3168537020683288,0.9013392857142856,0.9015625,5e-06,0.2412868632707774,0.01084629793167119,1.0342312488724914,0.0002232142857144792,1.0002476473501736
1900,0.3245,0.3169067502021789,0.8977678571428571,0.8984375,2.5e-06,0.2546916890080429,0.007593249797821111,1.0239605177011117,0.0006696428571428825,1.0007458975634014
2000,0.3769,0.3167929649353027,0.8803571428571428,0.9,0.0,0.2680965147453083,0.060107035064697334,1.1897360160032997,0.019642857142857184,1.0223123732251522
2100,0.3477,0.3155933022499084,0.881875,0.9,1.5e-05,0.2815013404825737,0.03210669775009162,1.1017344079269062,0.018125000000000058,1.0205527994330263
2200,0.3331,0.314547449350357,0.8910714285714286,0.9015625,1.3333333333333332e-05,0.2949061662198391,0.018552550649643007,1.058981723386917,0.010491071428571419,1.0117735470941884
2300,0.3175,0.3140923976898193,0.9013392857142856,0.896875,1.1666666666666668e-05,0.3083109919571045,0.003407602310180724,1.0108490442151545,-0.004464285714285587,0.9950470529965331
2400,0.3434,0.3142958283424377,0.8924107142857143,0.8984375,1e-05,0.3217158176943699,0.029104171657562294,1.0926012025391956,0.006026785714285721,1.006753376688344
2500,0.3233,0.3145467638969421,0.8910714285714286,0.8984375,8.333333333333334e-06,0.3351206434316354,0.008753236103057893,1.0278280914246691,0.007366071428571375,1.0082665330661322
2600,0.3323,0.3137085437774658,0.9022321428571428,0.9,6.666666666666667e-06,0.3485254691689008,0.018591456222534164,1.0592634679268484,-0.0022321428571427937,0.9975259772389907
2700,0.3143,0.3142127394676208,0.8941964285714286,0.9015625,5e-06,0.3619302949061662,8.72605323792297e-05,1.000277711631066,0.007366071428571486,1.008237643534698
2800,0.3074,0.3143100440502167,0.8955357142857143,0.9015625,3.3333333333333333e-06,0.3753351206434316,-0.006910044050216668,0.9780151981108416,0.006026785714285721,1.0067298105682951
2900,0.3312,0.314625084400177,0.8986607142857143,0.9015625,1.6666666666666669e-06,0.388739946380697,0.016574915599822992,1.0526814816161991,0.0029017857142857872,1.0032290114257327
3000,0.3143,0.3146039545536041,0.9026785714285714,0.9015625,0.0,0.4021447721179624,-0.0003039545536041022,0.9990338501814594,-0.0011160714285713969,0.9987636003956479
