Step,Train Loss,Test Loss,Train Acc,Test Acc,Learning Rate,Epochs,loss spread,loss ratio,Acc spread,Acc ratio
100,1.3683,1.3161306381225586,0.3525,0.8,4.5e-05,0.0134048257372654,0.05216936187744148,1.039638437375685,0.44750000000000006,2.269503546099291
200,0.8301,0.3737773597240448,0.7950892857142857,0.875,4e-05,0.0268096514745308,0.45632264027595515,2.2208407716637852,0.07991071428571428,1.1005053340819764
300,0.3585,0.3414698839187622,0.8794642857142857,0.890625,3.5e-05,0.0402144772117962,0.01703011608123778,1.0498729664994098,0.011160714285714302,1.0126903553299493
400,0.2916,0.3294008374214172,0.9008928571428572,0.8921875,3e-05,0.0536193029490616,-0.037800837421417155,0.8852436511172045,-0.00870535714285714,0.9903369672943508
500,0.2954,0.3282731473445892,0.9008928571428572,0.9046875,2.5e-05,0.067024128686327,-0.03287314734458918,0.8998603827011104,0.003794642857142816,1.0042120911793855
600,0.2953,0.3290630280971527,0.8991071428571429,0.9,2e-05,0.0804289544235924,-0.0337630280971527,0.8973964705412469,0.0008928571428571397,1.0009930486593843
700,0.2978,0.3207035660743713,0.9017857142857144,0.903125,1.5e-05,0.0938337801608579,-0.022903566074371273,0.9285833757487438,0.001339285714285543,1.0014851485148513
800,0.3145,0.3094166815280914,0.8866071428571428,0.903125,1e-05,0.1072386058981233,0.005083318471908627,1.0164287149833164,0.01651785714285714,1.0186304128902317
900,0.2964,0.313240110874176,0.8986607142857143,0.903125,5e-06,0.1206434316353887,-0.01684011087417603,0.9462389703950129,0.004464285714285698,1.0049677098857426
1000,0.2869,0.3118266463279724,0.9049107142857142,0.903125,0.0,0.1340482573726541,-0.024926646327972424,0.9200624878550144,-0.0017857142857142794,0.9980266403552047
1100,0.3056,0.3059868216514587,0.898125,0.9078125,2.25e-05,0.1474530831099195,-0.00038682165145870195,0.9987358225123194,0.009687500000000071,1.0107863604732081
1200,0.313,0.3095444738864898,0.8995535714285714,0.90625,2e-05,0.1608579088471849,0.003455526113510188,1.011163262164316,0.006696428571428603,1.0074441687344913
1300,0.3259,0.3113372027873993,0.8977678571428571,0.903125,1.75e-05,0.1742627345844504,0.014562797212600731,1.0467749985617527,0.005357142857142838,1.0059671805072103
1400,0.2933,0.3053814470767975,0.9008928571428572,0.9078125,1.5e-05,0.1876675603217158,-0.01208144707679748,0.9604381759519293,0.00691964285714286,1.0076808721506443
1500,0.2942,0.3100104928016662,0.9066964285714286,0.9078125,1.25e-05,0.2010723860589812,-0.015810492801666187,0.9490001365476969,0.0011160714285713969,1.0012309207287051
1600,0.3232,0.3031876683235168,0.8946428571428572,0.90625,1e-05,0.2144772117962466,0.020012331676483197,1.066006417039129,0.011607142857142816,1.0129740518962076
1700,0.2583,0.3104458749294281,0.9098214285714286,0.90625,7.5e-06,0.227882037533512,-0.052145874929428127,0.8320290938274436,-0.0035714285714285587,0.9960745829244357
1800,0.2851,0.3093863427639007,0.9035714285714286,0.9046875,5e-06,0.2412868632707774,-0.02428634276390068,0.9215015680817104,0.0011160714285713969,1.0012351778656126
1900,0.2685,0.3071006834506988,0.90625,0.90625,2.5e-06,0.2546916890080429,-0.03860068345069878,0.8743060972155223,0.0,1.0
2000,0.3293,0.3065014779567718,0.9004464285714285,0.90625,0.0,0.2680965147453083,0.022798522043228187,1.0743830737626774,0.0058035714285714635,1.006445215666832
2100,0.302,0.3097681701183319,0.896875,0.903125,1.5e-05,0.2815013404825737,-0.0077681701183319185,0.9749226328987757,0.006249999999999978,1.0069686411149825
2200,0.295,0.3011508882045746,0.8973214285714286,0.90625,1.3333333333333332e-05,0.2949061662198391,-0.0061508882045746005,0.9795753941114188,0.008928571428571397,1.0099502487562189
2300,0.2696,0.304669588804245,0.9084821428571428,0.903125,1.1666666666666668e-05,0.3083109919571045,-0.03506958880424499,0.8848930444883433,-0.005357142857142838,0.9941031941031941
2400,0.3071,0.3046132922172546,0.8991071428571429,0.9,1e-05,0.3217158176943699,0.002486707782745401,1.008163490715211,0.0008928571428571397,1.0009930486593843
2500,0.2783,0.300518125295639,0.9004464285714285,0.909375,8.333333333333334e-06,0.3351206434316354,-0.02221812529563899,0.9260672704057981,0.008928571428571508,1.0099157164105108
2600,0.263,0.302854061126709,0.9098214285714286,0.90625,6.666666666666667e-06,0.3485254691689008,-0.03985406112670897,0.8684050628925372,-0.0035714285714285587,0.9960745829244357
2700,0.2568,0.3069055676460266,0.9116071428571428,0.9046875,5e-06,0.3619302949061662,-0.05010556764602664,0.8367394634436331,-0.00691964285714286,0.992409402546523
2800,0.266,0.3015845715999603,0.9142857142857144,0.90625,3.3333333333333333e-06,0.3753351206434316,-0.03558457159996031,0.8820079839920929,-0.008035714285714368,0.9912109374999999
2900,0.2763,0.304192304611206,0.9066964285714286,0.9078125,1.6666666666666669e-06,0.388739946380697,-0.02789230461120601,0.9083070012344471,0.0011160714285713969,1.0012309207287051
3000,0.2697,0.3034354150295257,0.9071428571428573,0.9078125,0.0,0.4021447721179624,-0.033735415029525706,0.8888217612099,0.0006696428571427715,1.0007381889763778
