accuracy,epoch,grad_norm,learning_rate,loss,step,eval_accuracy,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second
0.42625,0.013404825737265416,1.5098052024841309,4.5e-05,1.3524,100,0.8453125,1.27517569065094,7.1007,90.132,1.408
0.8415178571428571,0.02680965147453083,5.474882125854492,4e-05,0.7395,200,0.86875,0.37176573276519775,7.0911,90.254,1.41
0.8723214285714286,0.040214477211796246,2.7977523803710938,3.5e-05,0.3709,300,0.8875,0.3536527752876282,7.1073,90.049,1.407
0.8982142857142857,0.05361930294906166,3.854936361312866,3e-05,0.2917,400,0.8921875,0.34639307856559753,7.1357,89.69,1.401
0.8928571428571429,0.06702412868632708,3.4667551517486572,2.5e-05,0.3176,500,0.89375,0.3340533673763275,7.1097,90.018,1.407
0.896875,0.08042895442359249,5.279508113861084,2e-05,0.2945,600,0.8953125,0.32906678318977356,7.1213,89.871,1.404
0.8982142857142857,0.0938337801608579,2.322075843811035,1.5e-05,0.3088,700,0.8984375,0.33011478185653687,7.208,88.79,1.387
0.8897321428571429,0.10723860589812333,2.4093403816223145,1e-05,0.321,800,0.9046875,0.31415635347366333,7.1508,89.5,1.398
0.9,0.12064343163538874,6.3958940505981445,5e-06,0.3031,900,0.903125,0.3189722001552582,7.1411,89.623,1.4
0.9017857142857143,0.13404825737265416,4.359930515289307,0.0,0.2934,1000,0.8984375,0.3171379566192627,7.1429,89.6,1.4
0.900625,0.14745308310991956,3.3976962566375732,2.25e-05,0.2992,1100,0.9046875,0.31152307987213135,7.1183,89.91,1.405
0.9026785714285714,0.16085790884718498,5.742725372314453,2e-05,0.3058,1200,0.9078125,0.3167857527732849,7.1629,89.35,1.396
0.8950892857142857,0.1742627345844504,3.461606979370117,1.75e-05,0.3331,1300,0.9015625,0.3186454176902771,7.1426,89.604,1.4
0.9053571428571429,0.1876675603217158,6.465806007385254,1.5e-05,0.2915,1400,0.90625,0.3145977556705475,7.1379,89.662,1.401
0.8995535714285714,0.20107238605898123,7.3105573654174805,1.25e-05,0.2981,1500,0.8984375,0.3173394799232483,7.1422,89.608,1.4
0.8964285714285715,0.21447721179624665,2.3243508338928223,1e-05,0.3267,1600,0.9015625,0.31268951296806335,7.1708,89.25,1.395
0.9089285714285714,0.22788203753351208,0.6542548537254333,7.5e-06,0.2753,1700,0.9078125,0.31892046332359314,7.151,89.498,1.398
0.9058035714285714,0.24128686327077747,5.817702293395996,5e-06,0.2933,1800,0.9046875,0.3143070936203003,7.1771,89.173,1.393
0.9080357142857143,0.2546916890080429,3.342085361480713,2.5e-06,0.2695,1900,0.9046875,0.3119417726993561,7.1704,89.255,1.395
0.8933035714285714,0.2680965147453083,0.33454275131225586,0.0,0.3385,2000,0.903125,0.3110900819301605,7.1636,89.34,1.396
0.8975,0.28150134048257375,2.480510950088501,1.5e-05,0.3035,2100,0.9078125,0.31215453147888184,7.1288,89.776,1.403
0.9004464285714285,0.2949061662198391,3.4625089168548584,1.3333333333333333e-05,0.3026,2200,0.90625,0.30927330255508423,7.1482,89.533,1.399
0.9040178571428571,0.30831099195710454,5.960324287414551,1.1666666666666668e-05,0.2775,2300,0.9015625,0.30615049600601196,7.1657,89.314,1.396
0.896875,0.32171581769436997,2.545868396759033,1e-05,0.3067,2400,0.9046875,0.3062085807323456,7.1961,88.937,1.39
0.9053571428571429,0.3351206434316354,6.109098434448242,8.333333333333334e-06,0.2778,2500,0.9078125,0.30411815643310547,7.1649,89.324,1.396
0.909375,0.3485254691689008,4.054878234863281,6.666666666666667e-06,0.2719,2600,0.9078125,0.30565911531448364,7.166,89.31,1.395
0.909375,0.36193029490616624,6.035731315612793,5e-06,0.26,2700,0.909375,0.30976811051368713,7.1655,89.317,1.396
0.9098214285714286,0.3753351206434316,8.955279350280762,3.3333333333333333e-06,0.2719,2800,0.9109375,0.3034895658493042,7.1642,89.333,1.396
0.9075892857142858,0.38873994638069703,4.067151069641113,1.6666666666666667e-06,0.2751,2900,0.90625,0.30629605054855347,7.2005,88.882,1.389
0.9035714285714286,0.40214477211796246,2.548536539077759,0.0,0.2795,3000,0.90625,0.30559179186820984,7.1865,89.056,1.391
